som_mouse_1_1,,,,,,,,,,,,
p-value,GO ID,Name,Type,Is a,Part of,Is a,Part of,Is a,Part of,Is a,Part of,Description
0.040611,48167,regulation of synaptic plasticity,biological process,50804,regulation of synaptic transmission,65008,regulation of biological quality,,,,,"A process that modulates synaptic plasticity, the ability of synapses to change as circumstances require. They may alter function, such as increasing or decreasing their sensitivity, or they may increase or decrease in actual numbers. [GOC:dph, GOC:jid, GOC:tb, http://www.mercksource.com, PMID:11891290]"
0.040611,48477,oogenesis,biological process,7292,female gamete generation,,,,,,,"The complete process of formation and maturation of an ovum or female gamete from a primordial female germ cell. Examples of this process are found in Mus musculus and Drosophila melanogaster. [GOC:kmv, GOC:mtg_sensu]"
0.040611,50770,regulation of axonogenesis,biological process,10769,regulation of cell morphogenesis involved in differentiation,10975,regulation of neuron projection development,,,,,"Any process that modulates the frequency, rate or extent of axonogenesis, the generation of an axon, the long process of a neuron. [GOC:ai]"
0.040611,50808,synapse organization,biological process,16043,cellular component organization,,,,,,,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a synapse, the junction between a neuron and a target (neuron, muscle, or secretory cell). [GOC:ai, GOC:pr]"
0.040611,50872,white fat cell differentiation,biological process,45444,fat cell differentiation,,,,,,,"The process in which a relatively unspecialized cell acquires specialized features of a white adipocyte, an animal connective tissue cell involved in energy storage. White adipocytes have cytoplasmic lipids arranged in a unique vacuole. [PMID:12508945]"
0.043859,6816,calcium ion transport,biological process,70838,divalent metal ion transport,,,,,,,"The directed movement of calcium (Ca) ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai]"
0.043859,71230,cellular response to amino acid stimulus,biological process,43200,response to amino acid stimulus,71229,cellular response to acid,71418,cellular response to amine stimulus,,,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an amino acid stimulus. An amino acid is a carboxylic acids containing one or more amino groups. [CHEBI:33709, GOC:mah]"
0.047045,8360,regulation of cell shape,biological process,22604,regulation of cell morphogenesis,65008,regulation of biological quality,,,,,"Any process that modulates the surface configuration of a cell. [GOC:dph, GOC:go_curators, GOC:tb]"
som_mouse_1_4,,,,,,,,,,,,
p-value,GO ID,Name,Type,Is a,,Is a,,Is a,,,,Description
0.00021074,6813,potassium ion transport,biological process,15672,monovalent inorganic cation transport,30001,metal ion transport,,,,,"The directed movement of potassium ions (K+) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai]"
0.00053303,15992,proton transport,biological process,6818,hydrogen transport,15672,monovalent inorganic cation transport,,,,,"The directed movement of protons (hydrogen ions) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:jl]"
0.00089126,50806,positive regulation of synaptic transmission,biological process,50804,regulation of synaptic transmission,51971,positive regulation of transmission of nerve impulse,,,,,"Any process that activates or increases the frequency, rate or extent of synaptic transmission, the process of communication from a neuron to a target (neuron, muscle, or secretory cell) across a synapse. [GOC:ai]"
0.00093625,7268,synaptic transmission,biological process,7267,cell-cell signaling,,,,,,,"The process of communication from a neuron to a target (neuron, muscle, or secretory cell) across a synapse. [GOC:jl, MeSH:D009435]"
0.00097744,71805,potassium ion transmembrane transport,biological process,34220,ion transmembrane transport,71804,cellular potassium ion transport,,,,,A process in which a potassium ion is transported from one side of a membrane to the other. [GOC:mah]
0.0022655,35235,ionotropic glutamate receptor signaling pathway,biological process,7215,glutamate receptor signaling pathway,,,,,,,"A series of molecular signals initiated by glutamate binding to a glutamate receptor on the surface of the target cell, followed by the movement of ions through a channel in the receptor complex. Ends with regulation of a downstream cellular process, e.g. transcription. [GOC:signaling, ISBN:0198506732]"
0.0024156,48169,regulation of long-term neuronal synaptic plasticity,biological process,48168,regulation of neuronal synaptic plasticity,,,,,,,"A process that modulates long-term neuronal synaptic plasticity, the ability of neuronal synapses to change long-term as circumstances require. Long-term neuronal synaptic plasticity generally involves increase or decrease in actual synapse numbers. [GOC:jid, http://www.mercksource.com, PMID:11891290]"
0.0036086,7628,adult walking behavior,biological process,8344,adult locomotory behavior,,,,,,,"The actions or reactions of an adult relating to the progression of that organism along the ground by the process of lifting and setting down each leg. [GOC:jid, ISBN:0198606907]"
0.0039719,6687,glycosphingolipid metabolic process,biological process,6664,glycolipid metabolic process,6665,sphingolipid metabolic process,,,,,"The chemical reactions and pathways involving glycosphingolipids, any compound with residues of sphingoid and at least one monosaccharide. [ISBN:0198547684]"
0.0039719,45542,positive regulation of cholesterol biosynthetic process,biological process,10893,positive regulation of steroid biosynthetic process,45540,regulation of cholesterol biosynthetic process,90205,positive regulation of cholesterol metabolic process,,,"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of cholesterol. [GOC:go_curators]"
0.0043195,30001,metal ion transport,biological process,6812,cation transport,,,,,,,"The directed movement of metal ions, any metal ion with an electric charge, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai]"
0.0055607,16311,dephosphorylation,biological process,6796,phosphate-containing compound metabolic process,,,,,,,The process of removing one or more phosphoric (ester or anhydride) residues from a molecule. [ISBN:0198506732]
0.0056011,34765,regulation of ion transmembrane transport,biological process,34762,regulation of transmembrane transport,43269,regulation of ion transport,,,,,"Any process that modulates the frequency, rate or extent of the directed movement of ions from one side of a membrane to the other. [GOC:mah]"
0.006858,31175,neuron projection development,biological process,30030,cell projection organization,,,,,,,"The process whose specific outcome is the progression of a neuron projection over time, from its formation to the mature structure. A neuron projection is any process extending from a neural cell, such as axons or dendrites (collectively called neurites). [GOC:mah]"
0.006858,42391,regulation of membrane potential,biological process,6873,cellular ion homeostasis,,,,,,,"Any process that modulates the establishment or extent of a membrane potential, the electric potential existing across any membrane arising from charges in the membrane itself and from the charges present in the media on either side of the membrane. [GOC:jl, GOC:mtg_cardio, GOC:tb, ISBN:0198506732]"
0.0070685,50885,neuromuscular process controlling balance,biological process,50905,neuromuscular process,,,,,,,"Any process that an organism uses to control its balance, the orientation of the organism (or the head of the organism) in relation to the source of gravity. In humans and animals, balance is perceived through visual cues, the labyrinth system of the inner ears and information from skin pressure receptors and muscle and joint receptors. [GOC:ai, GOC:dph, http://www.onelook.com/]"
0.0072074,22010,central nervous system myelination,biological process,32291,axon ensheathment in central nervous system,42552,myelination,,,,,"The process in which neuronal axons and dendrites become coated with a segmented lipid-rich sheath (myelin) to enable faster and more energetically efficient conduction of electrical impulses. The sheath is formed by the cell membranes of oligodendrocytes in the central nervous system. Adjacent myelin segments are separated by a non-myelinated stretch of axon called a node of Ranvier. [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid, GOC:mtg_15jun06]"
